GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
8600000US92127,92127,ZCTA5 92127,14317,360,1.7,0.9,2.7,1.7,3.7,1.7,3.2,1.0,8.2,2.4,9.4,2.5,9.7,2.9,21.7,3.3,13.8,2.7,25.9,3.1,117150,11714,156220,11169,31.6,(X),(X),(X),(X),(X)
8600000US92128,92128,ZCTA5 92128,20364,309,3.1,0.9,1.8,0.6,4.5,1.1,5.2,1.0,9.6,1.4,14.6,1.6,12.9,1.9,23.1,2.1,14.1,1.6,11.1,1.6,96026,4637,109261,3823,31.0,(X),(X),(X),(X),(X)
8600000US92129,92129,ZCTA5 92129,17685,311,2.1,0.8,1.9,0.7,4.7,1.1,2.9,0.8,7.4,1.2,11.7,1.8,12.4,1.7,21.6,1.7,16.6,1.8,18.6,1.6,115260,6940,129918,3939,31.5,(X),(X),(X),(X),(X)
8600000US92130,92130,ZCTA5 92130,18424,314,4.3,1.5,1.7,0.6,2.4,0.8,3.9,1.4,4.0,1.4,10.5,1.9,8.1,1.5,19.5,2.4,15.4,2.0,30.1,2.2,136855,6695,176857,7503,31.9,(X),(X),(X),(X),(X)
8600000US92131,92131,ZCTA5 92131,11613,243,1.8,0.7,1.2,0.7,3.3,1.1,3.3,1.0,5.9,1.3,11.3,1.7,13.0,1.8,22.3,2.3,14.8,1.7,23.1,2.0,120584,6384,147410,4860,30.0,(X),(X),(X),(X),(X)
8600000US92132,92132,ZCTA5 92132,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),(X),(X)
8600000US92134,92134,ZCTA5 92134,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),(X),(X)
8600000US92135,92135,ZCTA5 92135,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),(X),(X)
8600000US92139,92139,ZCTA5 92139,10189,246,3.7,1.3,2.7,1.0,7.7,1.8,11.6,2.6,15.4,2.5,22.0,2.6,16.1,2.2,14.3,2.2,5.2,1.2,1.3,0.6,57442,4150,68459,2651,41.4,(X),(X),(X),(X),(X)
8600000US92140,92140,ZCTA5 92140,11,15,0.0,89.4,0.0,89.4,0.0,89.4,0.0,89.4,0.0,89.4,0.0,89.4,0.0,89.4,0.0,89.4,0.0,89.4,100.0,89.4,-,**,N,N,0.0,(X),(X),(X),(X),(X)
8600000US92145,92145,ZCTA5 92145,587,105,1.2,1.8,0.0,5.4,4.4,7.0,2.9,4.4,5.8,7.0,11.4,9.0,10.9,9.1,11.8,8.9,1.5,2.3,50.1,12.0,202563,170382,245707,45134,47.2,(X),(X),(X),(X),(X)
8600000US92147,92147,ZCTA5 92147,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),(X),(X)
8600000US92154,92154,ZCTA5 92154,21433,367,3.9,0.9,4.9,0.9,8.8,1.2,9.8,1.3,12.7,1.7,20.7,1.7,16.1,1.6,15.2,1.7,5.2,1.2,2.7,0.8,61618,2500,72416,2904,27.9,(X),(X),(X),(X),(X)
8600000US92173,92173,ZCTA5 92173,7946,193,8.1,1.9,8.9,1.9,14.6,2.8,14.9,2.4,18.8,2.9,16.1,2.5,10.1,2.0,6.3,1.6,1.8,0.8,0.4,0.4,37166,2343,46944,2280,28.3,(X),(X),(X),(X),(X)
